School,2024,2023,2022,2021
Dartmouth,0.365891133,0.467515364,0.277655838,0.26953468
Williams,0.326707441,0.455657492,0.232925586,0.252803262
BC,0.114981472,0.242032822,0.241821069,0.189306511
UW Madison,0.259273302,0.30107425,0.208436019,0.215481833
Claremont,1.76703645,1.881141046,1.155309033,1.694928685
WashU,0.900067613,1.09479378,0.89479378,0.7775524
Vanderbilt,0.361626754,0.218364744,0.105427235,0.057814936
Caltech,0.963525836,1.448834853,0.790273556,0.451874367
Harvard,1.163592848,1.511333239,1.236238209,1.405040124
Uchicago,0.811483,0.495039026,0.417647837,0.259558143
CMU,0.115368302,0.113106178,0.243178284,0.094160894
Brown,0.736896349,0.660482921,0.737043581,0.522232038
UIUC,0.032147921,0.053965682,0.035475564,0.015943748
BU,0.103750756,0.104295221,0.071324864,0.037749546
Yale,1.145154374,1.235205832,1.077401372,0.698327616
UC Davis,0.030953457,0.029016848,0.066070622,0.051255568
McGill,0.174033252,0.143919298,0.119596488,0.097776948
Carleton,1.218963832,0.869990225,1.021016618,0.607526882
MIT,0.331824062,0.535144459,0.482966796,0.226606296
Princeton,0.551167648,0.490981583,0.299221568,0.19650655
Bates,0.197761194,0.196695096,0.125799574,0.453624733
NYU,0.017104377,0.012087542,0.008484848,0.006767677
Upenn,0.23095191,0.210963784,0.154264793,0.075994459
UCLA,0.021518987,0.065189873,0.041582278,0.024208861
Furman,0.646481876,0.797441365,0.931343284,0.598720682
Smith,0.384006334,0.569279493,0.452889945,0.271179731
USC,0.019,0.024571429,0.038238095,0.039285714
Wesleyan,0.184452779,0.368905557,0.57790658,0.365496079
Columbia,0.089120109,0.080524768,0.106423886,0.111739425
UCSD,0.04286791,0.047861315,0.032252999,0.01520005
